"SubID","Block","Trial","Condition","TestDuration","Long","Exp"
"1",1,131,"Fix-nonGap",250,0,"Exp1"
"1",1,132,"Fix-nonGap",250,0,"Exp1"
"1",1,133,"Fix-nonGap",500,1,"Exp1"
"1",1,135,"Fix-nonGap",500,1,"Exp1"
"1",1,136,"Fix-nonGap",375,0,"Exp1"
"1",1,137,"Fix-nonGap",875,1,"Exp1"
"1",1,138,"Fix-nonGap",500,0,"Exp1"
"1",1,139,"Fix-nonGap",625,1,"Exp1"
"1",1,140,"Fix-nonGap",250,0,"Exp1"
"1",1,3,"Fix-nonGap",625,1,"Exp1"
"1",1,19,"Fix-nonGap",750,1,"Exp1"
"1",1,33,"Fix-nonGap",250,0,"Exp1"
"1",1,37,"Fix-nonGap",250,0,"Exp1"
"1",1,43,"Fix-nonGap",250,0,"Exp1"
"1",1,61,"Fix-nonGap",625,1,"Exp1"
"1",1,66,"Fix-nonGap",500,0,"Exp1"
"1",1,70,"Fix-nonGap",625,1,"Exp1"
"1",1,81,"Fix-nonGap",125,0,"Exp1"
"1",1,87,"Fix-nonGap",250,0,"Exp1"
"1",1,103,"Fix-nonGap",250,0,"Exp1"
"1",1,109,"Fix-nonGap",500,1,"Exp1"
"1",1,111,"Fix-nonGap",750,1,"Exp1"
"1",1,117,"Fix-nonGap",625,1,"Exp1"
"1",1,119,"Fix-nonGap",250,0,"Exp1"
"1",1,130,"Fix-nonGap",125,0,"Exp1"
"1",1,134,"Fix-nonGap",250,0,"Exp1"
"1",1,1,"Fix-nonGap",625,1,"Exp1"
"1",1,18,"Fix-nonGap",875,1,"Exp1"
"1",1,93,"Fix-nonGap",875,1,"Exp1"
"1",1,99,"Fix-nonGap",875,1,"Exp1"
"1",2,2,"Fix-Gap",250,0,"Exp1"
"1",2,3,"Fix-Gap",875,1,"Exp1"
"1",2,4,"Fix-Gap",250,0,"Exp1"
"1",2,6,"Fix-Gap",375,0,"Exp1"
"1",2,7,"Fix-Gap",750,0,"Exp1"
"1",2,8,"Fix-Gap",500,0,"Exp1"
"1",2,11,"Fix-Gap",375,0,"Exp1"
"1",2,12,"Fix-Gap",750,1,"Exp1"
"1",2,13,"Fix-Gap",750,1,"Exp1"
"1",2,16,"Fix-Gap",750,0,"Exp1"
"1",2,17,"Fix-Gap",875,1,"Exp1"
"1",2,18,"Fix-Gap",500,1,"Exp1"
"1",2,19,"Fix-Gap",625,0,"Exp1"
"1",2,20,"Fix-Gap",250,0,"Exp1"
"1",2,21,"Fix-Gap",625,1,"Exp1"
"1",2,22,"Fix-Gap",875,1,"Exp1"
"1",2,23,"Fix-Gap",750,1,"Exp1"
"1",2,27,"Fix-Gap",625,0,"Exp1"
"1",2,28,"Fix-Gap",625,1,"Exp1"
"1",2,29,"Fix-Gap",500,1,"Exp1"
"1",2,30,"Fix-Gap",625,1,"Exp1"
"1",2,34,"Fix-Gap",375,0,"Exp1"
"1",2,36,"Fix-Gap",125,0,"Exp1"
"1",2,37,"Fix-Gap",875,1,"Exp1"
"1",2,38,"Fix-Gap",125,0,"Exp1"
"1",2,41,"Fix-Gap",500,1,"Exp1"
"1",2,42,"Fix-Gap",750,1,"Exp1"
"1",2,43,"Fix-Gap",875,1,"Exp1"
"1",2,44,"Fix-Gap",250,0,"Exp1"
"1",2,45,"Fix-Gap",375,1,"Exp1"
"1",2,46,"Fix-Gap",125,0,"Exp1"
"1",2,47,"Fix-Gap",875,1,"Exp1"
"1",2,48,"Fix-Gap",750,1,"Exp1"
"1",2,49,"Fix-Gap",625,1,"Exp1"
"1",2,50,"Fix-Gap",500,1,"Exp1"
"1",2,51,"Fix-Gap",875,1,"Exp1"
"1",2,52,"Fix-Gap",125,0,"Exp1"
"1",2,53,"Fix-Gap",250,0,"Exp1"
"1",2,57,"Fix-Gap",750,1,"Exp1"
"1",2,58,"Fix-Gap",875,1,"Exp1"
"1",2,60,"Fix-Gap",625,1,"Exp1"
"1",2,61,"Fix-Gap",875,1,"Exp1"
"1",2,62,"Fix-Gap",375,0,"Exp1"
"1",2,63,"Fix-Gap",625,1,"Exp1"
